,Year,Week_Class,Date Type
0,2012,week day,190
1,2012,weekend,165
2,2013,week day,258
3,2013,weekend,232
4,2014,week day,302
5,2014,weekend,256
6,2015,week day,411
7,2015,weekend,318
8,2016,week day,469
9,2016,weekend,448
10,2017,week day,559
11,2017,weekend,479
12,2018,week day,516
13,2018,weekend,501
14,2019,week day,673
15,2019,weekend,527
16,2020,week day,746
17,2020,weekend,628
18,2021,week day,852
19,2021,weekend,672
