,Death County,Death_Lat,Date Type
211,windham,41.749401,5
212,windham,41.788252,7
213,windham,41.797715,5
214,windham,41.803361,35
215,windham,41.840302,1
216,windham,41.846401,3
217,windham,41.871915,7
218,windham,41.897524,3
219,windham,41.902117,4
220,windham,41.914993,38
221,windham,41.950652,6
222,windham,41.958546,9
223,windham,41.983601,1
224,windham,41.985644,4
225,windham,42.021814,1
